model,control,split,metric,primary,mean,nominal_lo,nominal_hi,corrected_lo,corrected_hi,seed_1001,seed_1002,seed_1003,seed_1004,seed_1005
qwen25_15b_chat,none,internal,answer_set_probability,False,0.0062745407170607835,0.004566299785375371,0.007982781648746195,,,0.004565472114958724,0.006175535444008229,0.008370330894410416,0.005809357075328314,0.006452008056598235
qwen25_15b_chat,none,internal,answer_set_nll,False,-0.017737022670976987,-0.024115626198032918,-0.011358419143921059,,,-0.024440975130271436,-0.010401833016628892,-0.018936464596206015,-0.015838483581603224,-0.01906735703017537
qwen25_15b_chat,none,internal,content_micro_ce,False,-0.0014368737519014519,-0.0024710857725776247,-0.000402661731225279,,,-0.0025243534623460573,-0.00030210595778107363,-0.001084788016954108,-0.0014118086999116153,-0.001861312622514405
qwen25_15b_chat,none,internal,content_macro_ce,False,-0.0016580219443197764,-0.0024392384740211537,-0.0008768054146183992,,,-0.0023570142914321746,-0.0006445584117005243,-0.0016546272446658072,-0.0019096510054290583,-0.0017242587683713173
qwen25_15b_chat,none,internal,total_micro_ce,False,-0.0011647923409840554,-0.0015836759762091368,-0.000745908705758974,,,-0.0016050416784156862,-0.0006830895835629736,-0.001243559831666019,-0.0010401150582527163,-0.0012521555530228823
qwen25_15b_chat,none,internal,eos_ce,False,0.0027062803400259906,-0.006451625382261768,0.011864186062313748,,,0.011474582982836878,-0.006103582298237598,-0.0035025059036279393,0.004248203232509351,0.00741470368664926
qwen25_15b_chat,none,internal,content_top1,False,0.0005059483112266116,0.00021432682190650144,0.0007975698005467218,,,0.0005469711472719796,0.0002734855736360453,0.0002734855736360453,0.0006153425406809632,0.0008204567209080249
qwen25_15b_chat,none,internal,first_ce,False,-0.007069737941311116,-0.012258182443300398,-0.001881293439321835,,,-0.011311563775975975,-0.0013352647341753343,-0.011052809118434537,-0.005812348147441249,-0.005836703930528486
qwen25_15b_chat,none,internal,first_top1,False,0.004085603112840452,-0.001275375657947479,0.009446581883628385,,,-0.0009727626459143934,0.0009727626459143934,0.009727626459143934,0.006809338521400754,0.0038910505836575737
qwen25_15b_chat,none,internal,rest_ce,False,-0.0010110328645126273,-0.0019126842393014213,-0.00010938148972383329,,,-0.0018600460493138765,-0.0002239998228984949,-0.00033121207252693324,-0.0010791307655050528,-0.0015607756123187794
qwen25_15b_chat,none,internal,rest_top1,False,0.00023532872481244472,-0.00031025720314733964,0.000780914652772229,,,0.0006618620385350216,0.00022062067951167386,-0.0004412413590233477,0.00014708045300770856,0.0005883218120311673
qwen25_15b_chat,hidden_budget,public,answer_set_probability,True,0.005540352538983417,0.0033854847891009797,0.007695220288865854,0.0021916412123217295,0.008889063865645105,0.0026259213848379703,0.007030701485958635,0.0063992848472748665,0.006289232942203571,0.0053566220346420446
qwen25_15b_chat,hidden_budget,public,answer_set_nll,False,-0.004181325768960464,-0.009447041184591706,0.0010843896466707767,,,0.0022598742103454583,-0.004707670887117432,-0.006406130104369412,-0.00906075993511557,-0.0029919421285453662
qwen25_15b_chat,hidden_budget,public,content_micro_ce,False,0.00012859792480587328,-0.00017888391929992225,0.00043607976891166884,,,0.0005100711436965,9.964523707370332e-05,-7.293805542030185e-05,0.00020627414573878844,-0.00010006284705932345
qwen25_15b_chat,hidden_budget,public,content_macro_ce,False,0.001691141317956646,0.00035049242427104624,0.0030317902116422457,,,0.0035589795308119676,0.0008004112650044637,0.0014330747247041087,0.001164514493179447,0.0014987265760832424
qwen25_15b_chat,hidden_budget,public,total_micro_ce,False,0.0002559706757622182,-0.0005225357610773501,0.0010344771126017866,,,0.001020133701115311,0.000638567387708594,-0.0002397193550843224,-0.0005080091044902257,0.0003688807495617341
qwen25_15b_chat,hidden_budget,public,eos_ce,False,0.0013000394569760987,-0.005061037637435683,0.007661116551387881,,,0.005201093825393188,0.005056088315522622,-0.0016068182593839686,-0.0063629571754884595,0.004212790578837111
qwen25_15b_chat,hidden_budget,public,content_top1,False,-0.00016675509740011752,-0.00024311817959090518,-9.039201520932987e-05,,,-0.00010106369539397697,-0.0001389625811667461,-0.00026529220040938384,-0.0001768614669395152,-0.00015159554309096546
qwen25_15b_chat,hidden_budget,public,first_ce,False,0.006604801048616249,0.0020172306441346944,0.011192371453097802,,,0.012220363093307984,0.006484395368994367,0.006176039509938391,0.0018315087218296888,0.0063116985490108135
