phase,task,model,arm,seed,metric,value
core,cluener,qwen25_05b_base,input,6101,capped_pct,1.4892032762472078
core,cluener,qwen25_05b_base,input,6101,mean_generated_tokens,52.38272524199553
core,cluener,qwen25_05b_base,input,6102,primary,30.120665953872003
core,cluener,qwen25_05b_base,input,6102,span_precision_pct,28.37410071942446
core,cluener,qwen25_05b_base,input,6102,span_recall_pct,32.096354166666664
core,cluener,qwen25_05b_base,input,6102,text_micro_f1,30.6399877806629
core,cluener,qwen25_05b_base,input,6102,content_correct,7.297096053611318
core,cluener,qwen25_05b_base,input,6102,schema_valid,91.66046165301563
core,cluener,qwen25_05b_base,input,6102,strict_json,99.2553983618764
core,cluener,qwen25_05b_base,input,6102,native_eos_pct,99.2553983618764
core,cluener,qwen25_05b_base,input,6102,capped_pct,0.7446016381236039
core,cluener,qwen25_05b_base,input,6102,mean_generated_tokens,45.69247952345495
core,cluener,qwen25_05b_base,output,6100,primary,21.632765255634965
core,cluener,qwen25_05b_base,output,6100,span_precision_pct,18.720266412940056
core,cluener,qwen25_05b_base,output,6100,span_recall_pct,25.618489583333332
core,cluener,qwen25_05b_base,output,6100,text_micro_f1,22.15503023639362
core,cluener,qwen25_05b_base,output,6100,content_correct,4.244229337304542
core,cluener,qwen25_05b_base,output,6100,schema_valid,90.84139985107967
core,cluener,qwen25_05b_base,output,6100,strict_json,94.48994787788533
core,cluener,qwen25_05b_base,output,6100,native_eos_pct,94.48994787788533
core,cluener,qwen25_05b_base,output,6100,capped_pct,5.5100521221146685
core,cluener,qwen25_05b_base,output,6100,mean_generated_tokens,77.37379002233804
core,cluener,qwen25_05b_base,output,6101,primary,21.148118061196858
core,cluener,qwen25_05b_base,output,6101,span_precision_pct,18.103847936949467
core,cluener,qwen25_05b_base,output,6101,span_recall_pct,25.423177083333332
core,cluener,qwen25_05b_base,output,6101,text_micro_f1,21.74383969672353
core,cluener,qwen25_05b_base,output,6101,content_correct,3.8719285182427403
core,cluener,qwen25_05b_base,output,6101,schema_valid,90.69247952345495
core,cluener,qwen25_05b_base,output,6101,strict_json,94.63886820551005
core,cluener,qwen25_05b_base,output,6101,native_eos_pct,94.63886820551005
core,cluener,qwen25_05b_base,output,6101,capped_pct,5.361131794489948
core,cluener,qwen25_05b_base,output,6101,mean_generated_tokens,77.67907669396872
core,cluener,qwen25_05b_base,output,6102,primary,22.730945327228657
core,cluener,qwen25_05b_base,output,6102,span_precision_pct,19.38447404685347
core,cluener,qwen25_05b_base,output,6102,span_recall_pct,27.473958333333332
core,cluener,qwen25_05b_base,output,6102,text_micro_f1,23.48505251817937
core,cluener,qwen25_05b_base,output,6102,content_correct,4.988830975428146
core,cluener,qwen25_05b_base,output,6102,schema_valid,93.44750558451229
core,cluener,qwen25_05b_base,output,6102,strict_json,96.7982129560685
core,cluener,qwen25_05b_base,output,6102,native_eos_pct,96.7982129560685
core,cluener,qwen25_05b_base,output,6102,capped_pct,3.2017870439314966
core,cluener,qwen25_05b_base,output,6102,mean_generated_tokens,66.74534623976173
core,cluener,qwen25_05b_base,both,6100,primary,37.36298152207955
core,cluener,qwen25_05b_base,both,6100,span_precision_pct,35.9987929993965
core,cluener,qwen25_05b_base,both,6100,span_recall_pct,38.834635416666664
core,cluener,qwen25_05b_base,both,6100,text_micro_f1,37.926714688380834
core,cluener,qwen25_05b_base,both,6100,content_correct,14.370811615785554
core,cluener,qwen25_05b_base,both,6100,schema_valid,93.74534623976173
core,cluener,qwen25_05b_base,both,6100,strict_json,98.51079672375279
core,cluener,qwen25_05b_base,both,6100,native_eos_pct,98.65971705137751
core,cluener,qwen25_05b_base,both,6100,capped_pct,1.340282948622487
core,cluener,qwen25_05b_base,both,6100,mean_generated_tokens,46.30752047654505
core,cluener,qwen25_05b_base,both,6101,primary,35.55488540410133
core,cluener,qwen25_05b_base,both,6101,span_precision_pct,33.11797752808989
core,cluener,qwen25_05b_base,both,6101,span_recall_pct,38.37890625
core,cluener,qwen25_05b_base,both,6101,text_micro_f1,36.18817852834741
core,cluener,qwen25_05b_base,both,6101,content_correct,12.062546537602383
core,cluener,qwen25_05b_base,both,6101,schema_valid,90.69247952345495
core,cluener,qwen25_05b_base,both,6101,strict_json,96.57483246463143
core,cluener,qwen25_05b_base,both,6101,native_eos_pct,96.72375279225615
core,cluener,qwen25_05b_base,both,6101,capped_pct,3.276247207743857
core,cluener,qwen25_05b_base,both,6101,mean_generated_tokens,58.84884586746091
core,cluener,qwen25_05b_base,both,6102,primary,37.874740279014546
core,cluener,qwen25_05b_base,both,6102,span_precision_pct,34.8063284233497
core,cluener,qwen25_05b_base,both,6102,span_recall_pct,41.536458333333336
core,cluener,qwen25_05b_base,both,6102,text_micro_f1,38.52775304244583
core,cluener,qwen25_05b_base,both,6102,content_correct,10.052122114668652
core,cluener,qwen25_05b_base,both,6102,schema_valid,93.59642591213701
core,cluener,qwen25_05b_base,both,6102,strict_json,99.55323901712583
core,cluener,qwen25_05b_base,both,6102,native_eos_pct,99.55323901712583
core,cluener,qwen25_05b_base,both,6102,capped_pct,0.4467609828741623
core,cluener,qwen25_05b_base,both,6102,mean_generated_tokens,45.721518987341774
core,cluener,qwen25_15b_base,base,,primary,0.0
core,cluener,qwen25_15b_base,base,,span_precision_pct,0.0
core,cluener,qwen25_15b_base,base,,span_recall_pct,0.0
core,cluener,qwen25_15b_base,base,,text_micro_f1,0.0
core,cluener,qwen25_15b_base,base,,content_correct,0.0
core,cluener,qwen25_15b_base,base,,schema_valid,98.80863737900223
core,cluener,qwen25_15b_base,base,,strict_json,87.63961280714818
core,cluener,qwen25_15b_base,base,,native_eos_pct,97.98957557706628
core,cluener,qwen25_15b_base,base,,capped_pct,2.0104244229337302
core,cluener,qwen25_15b_base,base,,mean_generated_tokens,32.1705137751303
core,cluener,qwen25_15b_base,hidden,6100,primary,59.159397303727204
core,cluener,qwen25_15b_base,hidden,6100,span_precision_pct,57.68635941849675
core,cluener,qwen25_15b_base,hidden,6100,span_recall_pct,60.709635416666664
core,cluener,qwen25_15b_base,hidden,6100,text_micro_f1,60.07930214115781
core,cluener,qwen25_15b_base,hidden,6100,content_correct,28.220402084884586
core,cluener,qwen25_15b_base,hidden,6100,schema_valid,97.09605361131794
core,cluener,qwen25_15b_base,hidden,6100,strict_json,99.55323901712583
core,cluener,qwen25_15b_base,hidden,6100,native_eos_pct,99.55323901712583
core,cluener,qwen25_15b_base,hidden,6100,capped_pct,0.4467609828741623
core,cluener,qwen25_15b_base,hidden,6100,mean_generated_tokens,41.21742367833209
core,cluener,qwen25_15b_base,hidden,6101,primary,58.995750039351485
core,cluener,qwen25_15b_base,hidden,6101,span_precision_pct,57.11673270344407
core,cluener,qwen25_15b_base,hidden,6101,span_recall_pct,61.002604166666664
core,cluener,qwen25_15b_base,hidden,6101,text_micro_f1,59.94018573902093
core,cluener,qwen25_15b_base,hidden,6101,content_correct,27.401340282948624
core,cluener,qwen25_15b_base,hidden,6101,schema_valid,96.87267311988086
core,cluener,qwen25_15b_base,hidden,6101,strict_json,99.70215934475056
core,cluener,qwen25_15b_base,hidden,6101,native_eos_pct,99.70215934475056
core,cluener,qwen25_15b_base,hidden,6101,capped_pct,0.29784065524944153
core,cluener,qwen25_15b_base,hidden,6101,mean_generated_tokens,40.918838421444526
core,cluener,qwen25_15b_base,hidden,6102,primary,58.84991190132949
core,cluener,qwen25_15b_base,hidden,6102,span_precision_pct,57.93125197098707
core,cluener,qwen25_15b_base,hidden,6102,span_recall_pct,59.798177083333336
core,cluener,qwen25_15b_base,hidden,6102,text_micro_f1,59.74691654653211
core,cluener,qwen25_15b_base,hidden,6102,content_correct,27.2524199553239
core,cluener,qwen25_15b_base,hidden,6102,schema_valid,96.94713328369322
core,cluener,qwen25_15b_base,hidden,6102,strict_json,99.6276991809382
core,cluener,qwen25_15b_base,hidden,6102,native_eos_pct,99.6276991809382
core,cluener,qwen25_15b_base,hidden,6102,capped_pct,0.37230081906180196
core,cluener,qwen25_15b_base,hidden,6102,mean_generated_tokens,40.27177959791511
core,cluener,qwen25_15b_base,hidden_budget,6100,primary,59.19339472848523
core,cluener,qwen25_15b_base,hidden_budget,6100,span_precision_pct,57.78053316800992
core,cluener,qwen25_15b_base,hidden_budget,6100,span_recall_pct,60.677083333333336
core,cluener,qwen25_15b_base,hidden_budget,6100,text_micro_f1,60.146078120038105
core,cluener,qwen25_15b_base,hidden_budget,6100,content_correct,28.145941921072225
core,cluener,qwen25_15b_base,hidden_budget,6100,schema_valid,97.02159344750558
core,cluener,qwen25_15b_base,hidden_budget,6100,strict_json,99.47877885331347
core,cluener,qwen25_15b_base,hidden_budget,6100,native_eos_pct,99.47877885331347
core,cluener,qwen25_15b_base,hidden_budget,6100,capped_pct,0.5212211466865228
core,cluener,qwen25_15b_base,hidden_budget,6100,mean_generated_tokens,41.52196574832465
core,cluener,qwen25_15b_base,hidden_budget,6101,primary,59.0122680088078
core,cluener,qwen25_15b_base,hidden_budget,6101,span_precision_pct,57.09068776628119
core,cluener,qwen25_15b_base,hidden_budget,6101,span_recall_pct,61.067708333333336
core,cluener,qwen25_15b_base,hidden_budget,6101,text_micro_f1,59.95596099402328
core,cluener,qwen25_15b_base,hidden_budget,6101,content_correct,27.47580044676098
core,cluener,qwen25_15b_base,hidden_budget,6101,schema_valid,96.64929262844379
core,cluener,qwen25_15b_base,hidden_budget,6101,strict_json,99.55323901712583
core,cluener,qwen25_15b_base,hidden_budget,6101,native_eos_pct,99.55323901712583
core,cluener,qwen25_15b_base,hidden_budget,6101,capped_pct,0.4467609828741623
core,cluener,qwen25_15b_base,hidden_budget,6101,mean_generated_tokens,41.72077438570365
core,cluener,qwen25_15b_base,hidden_budget,6102,primary,58.957497995188454
core,cluener,qwen25_15b_base,hidden_budget,6102,span_precision_pct,58.10938981979134
core,cluener,qwen25_15b_base,hidden_budget,6102,span_recall_pct,59.830729166666664
core,cluener,qwen25_15b_base,hidden_budget,6102,text_micro_f1,59.855653568564556
core,cluener,qwen25_15b_base,hidden_budget,6102,content_correct,27.326880119136263
core,cluener,qwen25_15b_base,hidden_budget,6102,schema_valid,96.87267311988086
core,cluener,qwen25_15b_base,hidden_budget,6102,strict_json,99.55323901712583
core,cluener,qwen25_15b_base,hidden_budget,6102,native_eos_pct,99.55323901712583
core,cluener,qwen25_15b_base,hidden_budget,6102,capped_pct,0.4467609828741623
core,cluener,qwen25_15b_base,hidden_budget,6102,mean_generated_tokens,40.55696202531646
core,cluener,qwen25_15b_base,hidden_input,6100,primary,61.63421640600064
core,cluener,qwen25_15b_base,hidden_input,6100,span_precision_pct,60.45710707576706
core,cluener,qwen25_15b_base,hidden_input,6100,span_recall_pct,62.858072916666664
core,cluener,qwen25_15b_base,hidden_input,6100,text_micro_f1,62.559846792211935
core,cluener,qwen25_15b_base,hidden_input,6100,content_correct,30.8265078183172
core,cluener,qwen25_15b_base,hidden_input,6100,schema_valid,97.84065524944155
core,cluener,qwen25_15b_base,hidden_input,6100,strict_json,99.70215934475056
core,cluener,qwen25_15b_base,hidden_input,6100,native_eos_pct,99.70215934475056
core,cluener,qwen25_15b_base,hidden_input,6100,capped_pct,0.29784065524944153
core,cluener,qwen25_15b_base,hidden_input,6100,mean_generated_tokens,40.064780342516755
core,cluener,qwen25_15b_base,hidden_input,6101,primary,61.768879079300014
core,cluener,qwen25_15b_base,hidden_input,6101,span_precision_pct,59.88994191378783
core,cluener,qwen25_15b_base,hidden_input,6101,span_recall_pct,63.76953125
core,cluener,qwen25_15b_base,hidden_input,6101,text_micro_f1,62.84092700614851
core,cluener,qwen25_15b_base,hidden_input,6101,content_correct,30.52866716306776
core,cluener,qwen25_15b_base,hidden_input,6101,schema_valid,97.39389426656739
core,cluener,qwen25_15b_base,hidden_input,6101,strict_json,99.77661950856292
core,cluener,qwen25_15b_base,hidden_input,6101,native_eos_pct,99.77661950856292
core,cluener,qwen25_15b_base,hidden_input,6101,capped_pct,0.22338049143708116
core,cluener,qwen25_15b_base,hidden_input,6101,mean_generated_tokens,40.52196574832465
core,cluener,qwen25_15b_base,hidden_input,6102,primary,60.42729591836735
core,cluener,qwen25_15b_base,hidden_input,6102,span_precision_pct,59.21875
core,cluener,qwen25_15b_base,hidden_input,6102,span_recall_pct,61.686197916666664
core,cluener,qwen25_15b_base,hidden_input,6102,text_micro_f1,61.32015306122449
core,cluener,qwen25_15b_base,hidden_input,6102,content_correct,29.039463886820553
core,cluener,qwen25_15b_base,hidden_input,6102,schema_valid,97.24497393894266
core,cluener,qwen25_15b_base,hidden_input,6102,strict_json,99.6276991809382
core,cluener,qwen25_15b_base,hidden_input,6102,native_eos_pct,99.6276991809382
core,cluener,qwen25_15b_base,hidden_input,6102,capped_pct,0.37230081906180196
core,cluener,qwen25_15b_base,hidden_input,6102,mean_generated_tokens,40.6120625465376
core,cluener,qwen25_15b_base,hidden_output,6100,primary,60.68335695166115
core,cluener,qwen25_15b_base,hidden_output,6100,span_precision_pct,58.76791704788045
core,cluener,qwen25_15b_base,hidden_output,6100,span_recall_pct,62.727864583333336
core,cluener,qwen25_15b_base,hidden_output,6100,text_micro_f1,61.65958116831995
core,cluener,qwen25_15b_base,hidden_output,6100,content_correct,29.784065524944154
core,cluener,qwen25_15b_base,hidden_output,6100,schema_valid,96.94713328369322
core,cluener,qwen25_15b_base,hidden_output,6100,strict_json,99.47877885331347
core,cluener,qwen25_15b_base,hidden_output,6100,native_eos_pct,99.47877885331347
core,cluener,qwen25_15b_base,hidden_output,6100,capped_pct,0.5212211466865228
core,cluener,qwen25_15b_base,hidden_output,6100,mean_generated_tokens,42.06552494415488
core,cluener,qwen25_15b_base,hidden_output,6101,primary,60.08703761268262
core,cluener,qwen25_15b_base,hidden_output,6101,span_precision_pct,57.49553837001785
